Departure Station,Arrival Destination,Railcard,Ticket Type,Lead Time,Price,Ticket Class
london paddington,reading,no railcard,off-peak,0 days,19,standard
manchester piccadilly,liverpool lime street,senior,anytime,0 days,3,standard
london euston,birmingham new street,adult,anytime,0 days,9,standard
liverpool lime street,london euston,no railcard,anytime,0 days,151,standard
liverpool lime street,manchester piccadilly,no railcard,anytime,0 days,20,first class
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,19,first class
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
liverpool lime street,manchester piccadilly,adult,anytime,0 days,4,standard
london st pancras,birmingham new street,no railcard,advance,1 days,54,first class
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london euston,birmingham new street,disabled,advance,1 days,35,first class
london st pancras,birmingham new street,adult,advance,1 days,5,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london st pancras,birmingham new street,no railcard,advance,1 days,54,first class
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london kings cross,york,no railcard,advance,1 days,57,first class
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,10,first class
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,6,first class
london st pancras,birmingham new street,no railcard,advance,1 days,54,first class
oxford,bristol temple meads,adult,off-peak,0 days,17,standard
york,durham,no railcard,off-peak,0 days,11,standard
manchester piccadilly,london euston,adult,off-peak,0 days,84,standard
york,durham,no railcard,off-peak,0 days,11,standard
london paddington,reading,no railcard,off-peak,0 days,41,first class
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
london kings cross,york,disabled,advance,1 days,23,standard
york,durham,disabled,advance,1 days,5,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
york,durham,disabled,advance,1 days,5,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,6,first class
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
manchester piccadilly,london euston,no railcard,off-peak,0 days,200,first class
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2,standard
london st pancras,birmingham new street,disabled,advance,1 days,5,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
manchester piccadilly,london paddington,no railcard,advance,1 days,86,standard
london kings cross,york,no railcard,advance,1 days,35,standard
liverpool lime street,leeds,no railcard,advance,1 days,10,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london paddington,reading,disabled,advance,1 days,8,standard
london paddington,reading,no railcard,advance,1 days,27,first class
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
london kings cross,york,adult,anytime,0 days,47,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london paddington,reading,senior,anytime,0 days,17,standard
london paddington,reading,senior,anytime,0 days,17,standard
manchester piccadilly,liverpool lime street,senior,anytime,0 days,3,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
manchester piccadilly,liverpool lime street,senior,anytime,0 days,3,standard
birmingham new street,stafford,no railcard,anytime,0 days,14,first class
london euston,birmingham new street,no railcard,anytime,0 days,13,standard
birmingham new street,london st pancras,disabled,anytime,0 days,29,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,107,first class
manchester piccadilly,london euston,no railcard,advance,1 days,84,standard
birmingham new street,london euston,adult,anytime,0 days,27,standard
york,doncaster,disabled,anytime,0 days,7,standard
london euston,manchester piccadilly,no railcard,anytime,0 days,143,standard
london st pancras,wolverhampton,disabled,anytime,0 days,43,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
london kings cross,york,adult,advance,1 days,23,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london euston,birmingham new street,no railcard,anytime,0 days,13,standard
london euston,birmingham new street,no railcard,anytime,0 days,13,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
liverpool lime street,manchester piccadilly,no railcard,anytime,0 days,6,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
birmingham new street,london st pancras,no railcard,advance,1 days,22,standard
reading,swindon,no railcard,anytime,0 days,18,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
london euston,birmingham new street,no railcard,anytime,0 days,13,standard
liverpool lime street,london euston,no railcard,anytime,0 days,235,first class
liverpool lime street,london euston,no railcard,anytime,0 days,151,standard
liverpool lime street,london euston,adult,advance,1 days,78,first class
liverpool lime street,london euston,no railcard,anytime,0 days,151,standard
london euston,manchester piccadilly,no railcard,anytime,0 days,143,standard
liverpool lime street,london euston,no railcard,anytime,0 days,151,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
oxford,bristol temple meads,no railcard,anytime,0 days,34,standard
liverpool lime street,london euston,no railcard,anytime,0 days,151,standard
liverpool lime street,london euston,adult,advance,1 days,50,standard
london st pancras,birmingham new street,adult,anytime,0 days,11,standard
london euston,birmingham new street,no railcard,anytime,0 days,13,standard
manchester piccadilly,liverpool lime street,adult,anytime,0 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,10,first class
london paddington,oxford,no railcard,anytime,0 days,35,standard
london paddington,reading,no railcard,anytime,0 days,25,standard
london paddington,reading,no railcard,anytime,0 days,25,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
london paddington,oxford,no railcard,anytime,0 days,35,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2,standard
london paddington,reading,no railcard,anytime,0 days,25,standard
manchester piccadilly,nottingham,adult,off-peak,0 days,12,standard
manchester piccadilly,leeds,adult,off-peak,0 days,10,standard
london kings cross,york,no railcard,off-peak,0 days,86,first class
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london kings cross,york,senior,off-peak,0 days,35,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,adult,off-peak,0 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
york,doncaster,disabled,advance,1 days,4,standard
birmingham new street,london st pancras,disabled,advance,1 days,15,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london paddington,oxford,no railcard,advance,1 days,18,standard
london kings cross,york,adult,off-peak,0 days,35,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london kings cross,york,adult,advance,1 days,23,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london paddington,oxford,no railcard,advance,1 days,32,first class
london kings cross,york,adult,off-peak,0 days,35,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
york,peterborough,no railcard,advance,1 days,34,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
reading,swindon,no railcard,advance,1 days,9,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
reading,swindon,no railcard,advance,1 days,9,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london euston,manchester piccadilly,no railcard,advance,1 days,108,first class
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london euston,manchester piccadilly,no railcard,advance,1 days,72,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
london euston,birmingham new street,senior,advance,1 days,4,standard
london paddington,reading,no railcard,advance,1 days,13,standard
manchester piccadilly,leeds,adult,advance,1 days,6,standard
liverpool lime street,manchester piccadilly,adult,advance,1 days,2,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london kings cross,liverpool lime street,no railcard,advance,1 days,106,first class
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3,standard
london kings cross,liverpool lime street,no railcard,advance,1 days,65,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
york,edinburgh,adult,off-peak,0 days,24,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
reading,london paddington,no railcard,off-peak,0 days,19,standard
london kings cross,york,no railcard,advance,1 days,35,standard
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london kings cross,york,no railcard,advance,1 days,35,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,14,first class
london kings cross,york,adult,off-peak,0 days,35,standard
london kings cross,york,disabled,off-peak,0 days,35,standard
london euston,birmingham new street,no railcard,advance,1 days,52,first class
london kings cross,york,no railcard,advance,1 days,35,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london st pancras,birmingham new street,adult,off-peak,0 days,8,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
york,edinburgh,no railcard,off-peak,0 days,35,standard
london paddington,reading,disabled,advance,1 days,8,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london euston,birmingham new street,disabled,off-peak,0 days,7,standard
york,peterborough,no railcard,anytime,0 days,67,standard
london euston,birmingham new street,no railcard,anytime,0 days,13,standard
london euston,birmingham new street,adult,anytime,0 days,9,standard
liverpool lime street,manchester piccadilly,no railcard,anytime,0 days,6,standard
london st pancras,birmingham new street,disabled,anytime,0 days,11,standard
london euston,birmingham new street,disabled,anytime,0 days,9,standard
london euston,birmingham new street,disabled,anytime,0 days,9,standard
london st pancras,birmingham new street,disabled,anytime,0 days,11,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
manchester piccadilly,liverpool lime street,adult,anytime,0 days,13,first class
liverpool lime street,manchester piccadilly,adult,advance,1 days,2,standard
liverpool lime street,manchester piccadilly,adult,advance,1 days,2,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
manchester piccadilly,london paddington,no railcard,advance,1 days,86,standard
reading,swindon,no railcard,anytime,0 days,18,standard
birmingham new street,stafford,no railcard,anytime,0 days,10,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
liverpool lime street,manchester piccadilly,no railcard,anytime,0 days,6,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,19,first class
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
york,edinburgh,no railcard,advance,1 days,24,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london paddington,reading,senior,advance,1 days,8,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
reading,london paddington,no railcard,advance,1 days,13,standard
reading,london paddington,no railcard,advance,1 days,13,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
birmingham new street,stafford,no railcard,anytime,0 days,10,standard
birmingham new street,tamworth,no railcard,anytime,0 days,10,standard
london st pancras,wolverhampton,disabled,anytime,0 days,43,standard
london paddington,reading,no railcard,advance,1 days,13,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
london euston,manchester piccadilly,no railcard,anytime,0 days,143,standard
liverpool lime street,crewe,senior,anytime,0 days,11,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london st pancras,wolverhampton,disabled,anytime,0 days,43,standard
london paddington,reading,adult,advance,1 days,8,standard
london euston,birmingham new street,adult,advance,1 days,4,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
london euston,birmingham new street,adult,advance,1 days,4,standard
london euston,birmingham new street,adult,advance,1 days,4,standard
london kings cross,york,adult,advance,1 days,23,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london kings cross,york,no railcard,advance,1 days,35,standard
birmingham new street,manchester piccadilly,adult,advance,1 days,7,standard
liverpool lime street,leeds,adult,advance,1 days,7,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
manchester piccadilly,london kings cross,adult,advance,1 days,90,first class
liverpool lime street,london euston,adult,advance,1 days,50,standard
liverpool lime street,leeds,adult,advance,1 days,7,standard
london st pancras,leicester,senior,anytime,0 days,31,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,15,first class
manchester piccadilly,liverpool lime street,senior,anytime,0 days,3,standard
london kings cross,york,no railcard,advance,1 days,35,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london kings cross,york,no railcard,advance,1 days,35,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london kings cross,york,no railcard,advance,1 days,35,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
london kings cross,liverpool lime street,adult,off-peak,0 days,65,standard
london st pancras,birmingham new street,no railcard,advance,1 days,54,first class
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,10,first class
reading,swindon,no railcard,advance,1 days,9,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london euston,birmingham new street,adult,advance,1 days,4,standard
london paddington,reading,no railcard,advance,1 days,13,standard
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3,standard
liverpool lime street,manchester piccadilly,adult,advance,1 days,2,standard
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3,standard
london kings cross,york,adult,advance,1 days,23,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
birmingham new street,tamworth,no railcard,advance,1 days,5,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
birmingham new street,nuneaton,no railcard,advance,1 days,7,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
birmingham new street,nuneaton,no railcard,advance,1 days,7,standard
birmingham new street,nuneaton,no railcard,advance,1 days,7,standard
london euston,manchester piccadilly,adult,advance,1 days,48,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london st pancras,birmingham new street,adult,advance,1 days,5,standard
london paddington,reading,no railcard,advance,1 days,13,standard
birmingham new street,stafford,no railcard,advance,1 days,5,standard
london st pancras,birmingham new street,adult,advance,1 days,5,standard
london st pancras,birmingham new street,adult,advance,1 days,5,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london paddington,reading,no railcard,advance,1 days,13,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,6,first class
birmingham new street,london st pancras,adult,advance,1 days,39,first class
london paddington,reading,no railcard,advance,1 days,13,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london kings cross,york,no railcard,advance,1 days,57,first class
liverpool lime street,manchester piccadilly,adult,advance,1 days,2,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
liverpool lime street,manchester piccadilly,adult,advance,1 days,2,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london euston,manchester piccadilly,no railcard,off-peak,0 days,107,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
liverpool lime street,manchester piccadilly,disabled,off-peak,0 days,3,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
york,durham,no railcard,off-peak,0 days,11,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
york,durham,disabled,advance,1 days,5,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
york,durham,disabled,off-peak,0 days,8,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london paddington,reading,disabled,off-peak,0 days,13,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
birmingham new street,reading,no railcard,off-peak,0 days,50,standard
york,durham,no railcard,off-peak,0 days,11,standard
york,birmingham new street,no railcard,off-peak,0 days,59,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london euston,birmingham new street,adult,off-peak,0 days,7,standard
london euston,birmingham new street,adult,off-peak,0 days,7,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london st pancras,birmingham new street,no railcard,advance,1 days,54,first class
york,durham,no railcard,advance,1 days,8,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,15,first class
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
reading,didcot,senior,anytime,0 days,5,standard
reading,oxford,senior,anytime,0 days,7,standard
manchester piccadilly,liverpool lime street,senior,anytime,0 days,3,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
manchester piccadilly,liverpool lime street,senior,anytime,0 days,3,standard
york,doncaster,disabled,anytime,0 days,7,standard
birmingham new street,london st pancras,disabled,anytime,0 days,78,first class
london euston,birmingham new street,no railcard,anytime,0 days,13,standard
york,doncaster,disabled,anytime,0 days,7,standard
birmingham new street,london st pancras,senior,anytime,0 days,29,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
london paddington,reading,no railcard,anytime,0 days,25,standard
liverpool lime street,manchester piccadilly,no railcard,anytime,0 days,6,standard
liverpool lime street,manchester piccadilly,no railcard,anytime,0 days,6,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
birmingham new street,london st pancras,no railcard,anytime,0 days,44,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london euston,birmingham new street,no railcard,anytime,0 days,13,standard
london euston,birmingham new street,adult,advance,1 days,4,standard
manchester piccadilly,london paddington,no railcard,advance,1 days,86,standard
reading,swindon,no railcard,anytime,0 days,18,standard
reading,swindon,no railcard,anytime,0 days,18,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
birmingham new street,london st pancras,no railcard,advance,1 days,22,standard
liverpool lime street,manchester piccadilly,no railcard,anytime,0 days,6,standard
york,doncaster,disabled,anytime,0 days,7,standard
reading,swindon,no railcard,anytime,0 days,18,standard
reading,swindon,no railcard,anytime,0 days,18,standard
london euston,birmingham new street,no railcard,anytime,0 days,13,standard
london euston,birmingham new street,no railcard,anytime,0 days,13,standard
london euston,manchester piccadilly,disabled,anytime,0 days,95,standard
liverpool lime street,london euston,no railcard,anytime,0 days,151,standard
liverpool lime street,london euston,no railcard,anytime,0 days,151,standard
liverpool lime street,london euston,no railcard,anytime,0 days,151,standard
liverpool lime street,london euston,no railcard,anytime,0 days,151,standard
birmingham new street,liverpool lime street,no railcard,anytime,0 days,11,standard
london euston,manchester piccadilly,disabled,anytime,0 days,144,first class
london st pancras,birmingham new street,adult,anytime,0 days,11,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,19,first class
london paddington,reading,adult,anytime,0 days,17,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
london kings cross,liverpool lime street,adult,advance,1 days,43,standard
london paddington,reading,no railcard,anytime,0 days,54,first class
london paddington,oxford,no railcard,anytime,0 days,35,standard
london paddington,reading,no railcard,anytime,0 days,54,first class
london kings cross,york,no railcard,anytime,0 days,114,first class
london paddington,oxford,no railcard,anytime,0 days,35,standard
london paddington,reading,no railcard,anytime,0 days,25,standard
liverpool lime street,manchester piccadilly,adult,advance,1 days,2,standard
london paddington,reading,no railcard,anytime,0 days,25,standard
london paddington,reading,no railcard,anytime,0 days,54,first class
london paddington,reading,no railcard,anytime,0 days,25,standard
london paddington,reading,no railcard,anytime,0 days,25,standard
london paddington,oxford,no railcard,anytime,0 days,35,standard
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,6,first class
london paddington,reading,senior,advance,1 days,18,first class
london paddington,reading,senior,advance,1 days,8,standard
london kings cross,edinburgh waverley,disabled,anytime,0 days,48,standard
london paddington,reading,senior,advance,1 days,8,standard
london kings cross,edinburgh waverley,disabled,anytime,0 days,48,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
london euston,manchester piccadilly,no railcard,advance,1 days,72,standard
birmingham new street,london st pancras,disabled,advance,1 days,15,standard
york,doncaster,disabled,advance,1 days,4,standard
birmingham new street,nuneaton,no railcard,advance,1 days,7,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london paddington,oxford,no railcard,advance,1 days,18,standard
london paddington,oxford,no railcard,advance,1 days,18,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london kings cross,york,no railcard,advance,1 days,35,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,14,first class
london paddington,london waterloo,no railcard,advance,1 days,3,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london euston,birmingham new street,senior,off-peak,0 days,52,first class
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
