Lead Time,Departure Station,Arrival Destination,Day of Week
0 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,york,doncaster,Wednesday
1 days,birmingham new street,london st pancras,Wednesday
1 days,london st pancras,birmingham new street,Wednesday
1 days,london st pancras,birmingham new street,Wednesday
1 days,london paddington,oxford,Wednesday
0 days,london kings cross,york,Tuesday
1 days,london paddington,reading,Wednesday
1 days,london kings cross,york,Wednesday
1 days,london kings cross,york,Wednesday
1 days,london paddington,oxford,Wednesday
0 days,london kings cross,york,Tuesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,york,peterborough,Wednesday
0 days,london kings cross,york,Tuesday
1 days,liverpool lime street,manchester piccadilly,Wednesday
1 days,reading,swindon,Wednesday
1 days,liverpool lime street,manchester piccadilly,Wednesday
1 days,reading,swindon,Wednesday
0 days,liverpool lime street,manchester piccadilly,Tuesday
1 days,london kings cross,york,Wednesday
1 days,london euston,manchester piccadilly,Wednesday
1 days,liverpool lime street,london euston,Wednesday
1 days,liverpool lime street,london euston,Wednesday
1 days,liverpool lime street,london euston,Wednesday
0 days,london kings cross,york,Tuesday
0 days,london st pancras,birmingham new street,Tuesday
1 days,london euston,manchester piccadilly,Wednesday
0 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,london euston,birmingham new street,Wednesday
1 days,london euston,birmingham new street,Wednesday
1 days,london paddington,reading,Wednesday
1 days,manchester piccadilly,leeds,Wednesday
1 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,london st pancras,birmingham new street,Tuesday
1 days,london paddington,reading,Wednesday
1 days,london kings cross,liverpool lime street,Wednesday
0 days,liverpool lime street,manchester piccadilly,Tuesday
1 days,london kings cross,liverpool lime street,Wednesday
1 days,london kings cross,york,Wednesday
1 days,london euston,birmingham new street,Wednesday
0 days,london paddington,reading,Tuesday
0 days,york,edinburgh,Tuesday
0 days,london euston,birmingham new street,Tuesday
0 days,reading,london paddington,Tuesday
1 days,london kings cross,york,Wednesday
0 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,london st pancras,birmingham new street,Wednesday
1 days,london kings cross,york,Wednesday
0 days,manchester piccadilly,liverpool lime street,Tuesday
0 days,london kings cross,york,Tuesday
0 days,london kings cross,york,Tuesday
1 days,london euston,birmingham new street,Wednesday
1 days,london kings cross,york,Wednesday
1 days,london st pancras,birmingham new street,Wednesday
0 days,london paddington,reading,Tuesday
0 days,london paddington,reading,Tuesday
0 days,london st pancras,birmingham new street,Tuesday
0 days,london paddington,reading,Tuesday
1 days,london euston,birmingham new street,Wednesday
0 days,york,edinburgh,Tuesday
1 days,london paddington,reading,Wednesday
1 days,london euston,birmingham new street,Wednesday
0 days,london euston,birmingham new street,Tuesday
0 days,york,peterborough,Tuesday
0 days,london euston,birmingham new street,Tuesday
0 days,london euston,birmingham new street,Tuesday
0 days,liverpool lime street,manchester piccadilly,Tuesday
0 days,london st pancras,birmingham new street,Tuesday
0 days,london euston,birmingham new street,Tuesday
0 days,london euston,birmingham new street,Tuesday
0 days,london st pancras,birmingham new street,Tuesday
0 days,london kings cross,york,Tuesday
0 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,liverpool lime street,manchester piccadilly,Wednesday
1 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,london kings cross,york,Tuesday
1 days,manchester piccadilly,london paddington,Wednesday
0 days,reading,swindon,Tuesday
0 days,birmingham new street,stafford,Tuesday
0 days,london kings cross,york,Tuesday
0 days,liverpool lime street,manchester piccadilly,Tuesday
0 days,manchester piccadilly,liverpool lime street,Tuesday
0 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,liverpool lime street,london euston,Wednesday
0 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,york,edinburgh,Wednesday
1 days,london kings cross,york,Wednesday
1 days,london paddington,reading,Wednesday
1 days,london euston,birmingham new street,Wednesday
1 days,reading,london paddington,Wednesday
1 days,reading,london paddington,Wednesday
1 days,london euston,birmingham new street,Wednesday
0 days,london st pancras,birmingham new street,Tuesday
0 days,birmingham new street,stafford,Tuesday
0 days,birmingham new street,tamworth,Tuesday
0 days,london st pancras,wolverhampton,Tuesday
1 days,london paddington,reading,Wednesday
0 days,manchester piccadilly,liverpool lime street,Tuesday
0 days,london euston,manchester piccadilly,Tuesday
0 days,liverpool lime street,crewe,Tuesday
0 days,london st pancras,birmingham new street,Tuesday
0 days,london st pancras,wolverhampton,Tuesday
1 days,london paddington,reading,Wednesday
1 days,london euston,birmingham new street,Wednesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,london euston,birmingham new street,Wednesday
1 days,london euston,birmingham new street,Wednesday
1 days,london kings cross,york,Wednesday
0 days,london st pancras,birmingham new street,Tuesday
1 days,london kings cross,york,Wednesday
1 days,birmingham new street,manchester piccadilly,Wednesday
1 days,liverpool lime street,leeds,Wednesday
0 days,london kings cross,york,Tuesday
1 days,manchester piccadilly,london kings cross,Wednesday
1 days,liverpool lime street,london euston,Wednesday
1 days,liverpool lime street,leeds,Wednesday
0 days,london st pancras,leicester,Tuesday
0 days,liverpool lime street,manchester piccadilly,Tuesday
0 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,london kings cross,york,Wednesday
0 days,liverpool lime street,manchester piccadilly,Tuesday
1 days,london kings cross,york,Wednesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,london euston,birmingham new street,Wednesday
1 days,london kings cross,york,Wednesday
0 days,manchester piccadilly,liverpool lime street,Tuesday
0 days,london kings cross,liverpool lime street,Tuesday
1 days,london st pancras,birmingham new street,Wednesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,reading,swindon,Wednesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,london euston,birmingham new street,Wednesday
1 days,london paddington,reading,Wednesday
0 days,liverpool lime street,manchester piccadilly,Tuesday
1 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,liverpool lime street,manchester piccadilly,Tuesday
1 days,london kings cross,york,Wednesday
0 days,london euston,birmingham new street,Tuesday
1 days,london st pancras,birmingham new street,Wednesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,birmingham new street,tamworth,Wednesday
1 days,london st pancras,birmingham new street,Wednesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,birmingham new street,nuneaton,Wednesday
1 days,london st pancras,birmingham new street,Wednesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,birmingham new street,nuneaton,Wednesday
1 days,birmingham new street,nuneaton,Wednesday
1 days,london euston,manchester piccadilly,Wednesday
1 days,london kings cross,york,Wednesday
1 days,london st pancras,birmingham new street,Wednesday
1 days,london paddington,reading,Wednesday
1 days,birmingham new street,stafford,Wednesday
1 days,london st pancras,birmingham new street,Wednesday
1 days,london st pancras,birmingham new street,Wednesday
0 days,london kings cross,york,Tuesday
0 days,london kings cross,york,Tuesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,london kings cross,york,Wednesday
1 days,london paddington,reading,Wednesday
1 days,london paddington,reading,Wednesday
1 days,london paddington,reading,Wednesday
1 days,london paddington,reading,Wednesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,liverpool lime street,manchester piccadilly,Wednesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,birmingham new street,london st pancras,Wednesday
1 days,london paddington,reading,Wednesday
1 days,liverpool lime street,manchester piccadilly,Wednesday
1 days,london kings cross,york,Wednesday
1 days,liverpool lime street,manchester piccadilly,Wednesday
1 days,liverpool lime street,manchester piccadilly,Wednesday
1 days,liverpool lime street,manchester piccadilly,Wednesday
1 days,london paddington,reading,Wednesday
1 days,london euston,birmingham new street,Wednesday
0 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,london euston,manchester piccadilly,Wednesday
0 days,london paddington,reading,Wednesday
0 days,london st pancras,birmingham new street,Wednesday
0 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,york,durham,Wednesday
0 days,london paddington,reading,Wednesday
0 days,london st pancras,birmingham new street,Wednesday
1 days,york,durham,Thursday
0 days,london st pancras,birmingham new street,Wednesday
0 days,london st pancras,birmingham new street,Wednesday
0 days,york,durham,Wednesday
0 days,liverpool lime street,manchester piccadilly,Wednesday
1 days,liverpool lime street,manchester piccadilly,Thursday
0 days,london paddington,reading,Wednesday
1 days,liverpool lime street,manchester piccadilly,Thursday
0 days,birmingham new street,reading,Wednesday
0 days,york,durham,Wednesday
0 days,york,birmingham new street,Wednesday
0 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,london euston,birmingham new street,Wednesday
0 days,london euston,birmingham new street,Wednesday
1 days,liverpool lime street,manchester piccadilly,Thursday
1 days,london st pancras,birmingham new street,Thursday
1 days,york,durham,Thursday
1 days,liverpool lime street,manchester piccadilly,Thursday
0 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,london kings cross,york,Wednesday
0 days,liverpool lime street,manchester piccadilly,Wednesday
1 days,liverpool lime street,manchester piccadilly,Thursday
1 days,london euston,birmingham new street,Thursday
1 days,liverpool lime street,manchester piccadilly,Thursday
0 days,london kings cross,york,Wednesday
0 days,reading,didcot,Wednesday
0 days,reading,oxford,Wednesday
0 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,london kings cross,york,Wednesday
0 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,york,doncaster,Wednesday
0 days,birmingham new street,london st pancras,Wednesday
0 days,london euston,birmingham new street,Wednesday
0 days,york,doncaster,Wednesday
0 days,birmingham new street,london st pancras,Wednesday
0 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,london paddington,reading,Wednesday
0 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,liverpool lime street,manchester piccadilly,Wednesday
1 days,london euston,birmingham new street,Thursday
0 days,birmingham new street,london st pancras,Wednesday
1 days,london kings cross,york,Thursday
0 days,london euston,birmingham new street,Wednesday
1 days,london euston,birmingham new street,Thursday
1 days,manchester piccadilly,london paddington,Thursday
0 days,reading,swindon,Wednesday
0 days,reading,swindon,Wednesday
0 days,london kings cross,york,Wednesday
1 days,birmingham new street,london st pancras,Thursday
0 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,york,doncaster,Wednesday
0 days,reading,swindon,Wednesday
0 days,reading,swindon,Wednesday
0 days,london euston,birmingham new street,Wednesday
0 days,london euston,birmingham new street,Wednesday
0 days,london euston,manchester piccadilly,Wednesday
0 days,liverpool lime street,london euston,Wednesday
0 days,liverpool lime street,london euston,Wednesday
0 days,liverpool lime street,london euston,Wednesday
0 days,liverpool lime street,london euston,Wednesday
0 days,birmingham new street,liverpool lime street,Wednesday
0 days,london euston,manchester piccadilly,Wednesday
0 days,london st pancras,birmingham new street,Wednesday
0 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,london paddington,reading,Wednesday
0 days,london kings cross,york,Wednesday
1 days,london kings cross,liverpool lime street,Thursday
0 days,london paddington,reading,Wednesday
0 days,london paddington,oxford,Wednesday
0 days,london paddington,reading,Wednesday
0 days,london kings cross,york,Wednesday
0 days,london paddington,oxford,Wednesday
0 days,london paddington,reading,Wednesday
1 days,liverpool lime street,manchester piccadilly,Thursday
0 days,london paddington,reading,Wednesday
0 days,london paddington,reading,Wednesday
0 days,london paddington,reading,Wednesday
0 days,london paddington,reading,Wednesday
0 days,london paddington,oxford,Wednesday
0 days,liverpool lime street,manchester piccadilly,Wednesday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,london paddington,reading,Thursday
1 days,london paddington,reading,Thursday
0 days,london kings cross,edinburgh waverley,Wednesday
1 days,london paddington,reading,Thursday
0 days,london kings cross,edinburgh waverley,Wednesday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,london euston,manchester piccadilly,Thursday
1 days,birmingham new street,london st pancras,Thursday
1 days,york,doncaster,Thursday
1 days,birmingham new street,nuneaton,Thursday
1 days,london st pancras,birmingham new street,Thursday
1 days,london st pancras,birmingham new street,Thursday
1 days,liverpool lime street,manchester piccadilly,Thursday
1 days,london paddington,oxford,Thursday
1 days,london paddington,oxford,Thursday
1 days,london paddington,reading,Thursday
1 days,london paddington,reading,Thursday
1 days,london kings cross,york,Thursday
0 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,london paddington,london waterloo,Thursday
1 days,london euston,birmingham new street,Thursday
1 days,london kings cross,york,Thursday
0 days,london euston,birmingham new street,Wednesday
1 days,london st pancras,birmingham new street,Thursday
0 days,london euston,birmingham new street,Wednesday
1 days,liverpool lime street,london euston,Thursday
0 days,london st pancras,birmingham new street,Wednesday
1 days,liverpool lime street,london euston,Thursday
1 days,london euston,manchester piccadilly,Thursday
1 days,liverpool lime street,london euston,Thursday
0 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,liverpool lime street,london euston,Thursday
1 days,liverpool lime street,london euston,Thursday
1 days,london euston,manchester piccadilly,Thursday
1 days,liverpool lime street,london euston,Thursday
0 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,liverpool lime street,london euston,Thursday
0 days,manchester piccadilly,york,Wednesday
1 days,london euston,manchester piccadilly,Thursday
1 days,london euston,manchester piccadilly,Thursday
0 days,london euston,birmingham new street,Wednesday
1 days,london paddington,reading,Thursday
0 days,london euston,birmingham new street,Wednesday
1 days,manchester piccadilly,leeds,Thursday
1 days,london paddington,reading,Thursday
0 days,london st pancras,birmingham new street,Wednesday
0 days,liverpool lime street,manchester piccadilly,Wednesday
1 days,london paddington,reading,Thursday
0 days,liverpool lime street,manchester piccadilly,Wednesday
1 days,manchester piccadilly,liverpool lime street,Thursday
0 days,london paddington,reading,Wednesday
0 days,london paddington,reading,Wednesday
0 days,liverpool lime street,manchester piccadilly,Wednesday
1 days,london st pancras,birmingham new street,Thursday
0 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,liverpool lime street,london st pancras,Thursday
0 days,london kings cross,york,Wednesday
0 days,london paddington,reading,Wednesday
1 days,london st pancras,birmingham new street,Thursday
0 days,london paddington,reading,Wednesday
0 days,london st pancras,birmingham new street,Wednesday
1 days,london kings cross,york,Thursday
0 days,london paddington,reading,Wednesday
0 days,york,edinburgh,Wednesday
0 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,london paddington,reading,Thursday
0 days,london kings cross,york,Wednesday
0 days,london paddington,reading,Wednesday
1 days,london st pancras,birmingham new street,Thursday
1 days,london kings cross,york,Thursday
1 days,manchester piccadilly,liverpool lime street,Thursday
0 days,london euston,birmingham new street,Wednesday
0 days,london paddington,reading,Wednesday
0 days,london st pancras,birmingham new street,Wednesday
0 days,london kings cross,york,Wednesday
0 days,london kings cross,york,Wednesday
0 days,london euston,birmingham new street,Wednesday
0 days,london paddington,reading,Wednesday
1 days,london euston,birmingham new street,Thursday
0 days,london st pancras,leicester,Wednesday
0 days,london euston,birmingham new street,Wednesday
0 days,birmingham new street,manchester piccadilly,Wednesday
0 days,london kings cross,york,Wednesday
0 days,edinburgh waverley,london kings cross,Wednesday
1 days,london paddington,reading,Thursday
1 days,manchester piccadilly,liverpool lime street,Thursday
0 days,manchester piccadilly,london euston,Wednesday
0 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,london euston,birmingham new street,Thursday
1 days,london paddington,reading,Thursday
1 days,london st pancras,birmingham new street,Thursday
1 days,london euston,birmingham new street,Thursday
0 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,liverpool lime street,manchester piccadilly,Wednesday
1 days,london paddington,reading,Thursday
0 days,london euston,birmingham new street,Wednesday
0 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,london euston,birmingham new street,Wednesday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,london paddington,reading,Thursday
1 days,london st pancras,birmingham new street,Thursday
1 days,reading,london paddington,Thursday
1 days,reading,london paddington,Thursday
0 days,london st pancras,birmingham new street,Wednesday
0 days,london st pancras,birmingham new street,Wednesday
1 days,london euston,birmingham new street,Thursday
1 days,london kings cross,york,Thursday
0 days,birmingham new street,nuneaton,Wednesday
0 days,reading,didcot,Wednesday
0 days,london st pancras,birmingham new street,Wednesday
0 days,london paddington,reading,Wednesday
1 days,london euston,birmingham new street,Thursday
1 days,london euston,birmingham new street,Thursday
1 days,london kings cross,york,Thursday
1 days,london kings cross,york,Thursday
1 days,london paddington,reading,Thursday
1 days,london kings cross,york,Thursday
1 days,london kings cross,liverpool lime street,Thursday
1 days,liverpool lime street,leeds,Thursday
1 days,liverpool lime street,sheffield,Thursday
1 days,london euston,birmingham new street,Thursday
1 days,liverpool lime street,london euston,Thursday
0 days,london st pancras,leicester,Wednesday
0 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,london st pancras,leicester,Wednesday
1 days,liverpool lime street,london euston,Thursday
0 days,london paddington,reading,Wednesday
0 days,london paddington,reading,Wednesday
0 days,london kings cross,york,Wednesday
1 days,london kings cross,york,Thursday
0 days,london kings cross,liverpool lime street,Wednesday
0 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,birmingham new street,edinburgh,Wednesday
0 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,london paddington,reading,Wednesday
1 days,liverpool lime street,manchester piccadilly,Thursday
1 days,liverpool lime street,manchester piccadilly,Thursday
1 days,london st pancras,birmingham new street,Thursday
1 days,london st pancras,leicester,Thursday
1 days,london st pancras,birmingham new street,Thursday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,london euston,birmingham new street,Thursday
0 days,london euston,birmingham new street,Wednesday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,london st pancras,birmingham new street,Thursday
1 days,london kings cross,york,Thursday
0 days,london euston,birmingham new street,Wednesday
1 days,liverpool lime street,manchester piccadilly,Thursday
0 days,london paddington,reading,Wednesday
0 days,london paddington,reading,Wednesday
0 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,liverpool lime street,manchester piccadilly,Wednesday
1 days,york,peterborough,Thursday
1 days,london paddington,reading,Thursday
1 days,london st pancras,birmingham new street,Thursday
1 days,london st pancras,birmingham new street,Thursday
1 days,birmingham new street,nuneaton,Thursday
1 days,london st pancras,birmingham new street,Thursday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,london kings cross,york,Thursday
1 days,london st pancras,birmingham new street,Thursday
1 days,london euston,manchester piccadilly,Thursday
1 days,birmingham new street,stafford,Thursday
0 days,london paddington,reading,Wednesday
1 days,london euston,birmingham new street,Thursday
1 days,london st pancras,birmingham new street,Thursday
1 days,london paddington,reading,Thursday
1 days,london paddington,reading,Thursday
1 days,london paddington,reading,Thursday
1 days,liverpool lime street,manchester piccadilly,Thursday
1 days,liverpool lime street,manchester piccadilly,Thursday
1 days,london paddington,reading,Thursday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,manchester piccadilly,london euston,Thursday
1 days,manchester piccadilly,london euston,Thursday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,liverpool lime street,manchester piccadilly,Thursday
1 days,london kings cross,york,Thursday
1 days,london paddington,reading,Thursday
1 days,manchester piccadilly,london euston,Friday
0 days,manchester piccadilly,liverpool lime street,Thursday
0 days,liverpool lime street,manchester piccadilly,Thursday
0 days,york,edinburgh,Thursday
0 days,manchester piccadilly,london paddington,Thursday
0 days,liverpool lime street,leeds,Thursday
0 days,manchester piccadilly,london paddington,Thursday
0 days,london paddington,reading,Thursday
0 days,london kings cross,york,Thursday
1 days,liverpool lime street,manchester piccadilly,Friday
0 days,london euston,birmingham new street,Thursday
0 days,liverpool lime street,london euston,Thursday
0 days,london st pancras,birmingham new street,Thursday
1 days,london kings cross,york,Friday
0 days,london paddington,reading,Thursday
