Date of Journey,Ticket Class,0
2024-04-19,first class,29
2024-04-19,standard,275
2024-04-20,first class,22
2024-04-20,standard,233
2024-04-21,first class,29
2024-04-21,standard,236
2024-04-22,first class,29
2024-04-22,standard,225
2024-04-23,first class,30
2024-04-23,standard,255
2024-04-24,first class,30
2024-04-24,standard,241
2024-04-25,first class,25
2024-04-25,standard,251
2024-04-26,first class,31
2024-04-26,standard,239
2024-04-27,first class,25
2024-04-27,standard,244
2024-04-28,first class,36
2024-04-28,standard,256
2024-04-29,first class,27
2024-04-29,standard,222
2024-04-30,first class,23
2024-04-30,standard,248
