Time of Purchase,Lead Time,Ticket Type
18:06:16,0 days,off-peak
18:08:29,1 days,advance
18:13:20,1 days,advance
18:14:25,1 days,advance
18:21:12,0 days,anytime
18:22:18,0 days,off-peak
18:24:22,0 days,anytime
18:31:55,1 days,advance
18:35:18,0 days,off-peak
18:39:02,1 days,advance
18:44:32,1 days,advance
18:50:20,1 days,advance
18:55:27,1 days,advance
18:55:44,0 days,off-peak
18:59:30,0 days,off-peak
19:20:49,1 days,advance
19:30:04,1 days,advance
19:34:21,1 days,advance
19:34:34,1 days,advance
19:42:19,1 days,advance
19:43:46,1 days,advance
20:01:10,1 days,advance
20:01:42,0 days,off-peak
20:02:34,1 days,advance
20:03:09,0 days,off-peak
20:06:32,1 days,advance
20:06:34,0 days,off-peak
20:18:10,1 days,advance
20:19:43,1 days,advance
20:20:03,1 days,advance
20:20:20,1 days,advance
20:20:41,1 days,advance
20:21:26,1 days,advance
20:21:59,1 days,advance
20:23:07,1 days,advance
20:24:22,1 days,advance
20:26:32,1 days,advance
20:27:40,1 days,advance
20:29:19,1 days,advance
20:30:13,1 days,advance
20:30:17,1 days,advance
20:30:57,1 days,advance
20:32:41,1 days,advance
20:32:50,1 days,advance
20:40:59,0 days,off-peak
20:45:50,0 days,off-peak
20:52:36,1 days,advance
21:01:44,1 days,advance
21:36:39,1 days,advance
21:38:33,1 days,advance
21:39:38,1 days,advance
21:44:12,1 days,advance
21:47:08,1 days,advance
21:55:40,1 days,advance
21:58:19,1 days,advance
22:40:21,1 days,advance
22:55:59,1 days,advance
23:01:56,1 days,advance
23:05:17,1 days,advance
23:05:47,1 days,advance
23:05:48,1 days,advance
23:07:29,1 days,advance
23:10:03,1 days,advance
23:44:41,1 days,advance
23:58:39,1 days,advance
00:02:17,0 days,off-peak
00:05:02,0 days,off-peak
00:05:05,0 days,off-peak
00:07:02,0 days,off-peak
00:08:45,0 days,off-peak
00:14:18,0 days,off-peak
00:15:32,0 days,off-peak
00:25:49,0 days,off-peak
00:55:46,0 days,off-peak
01:22:00,0 days,off-peak
01:22:48,1 days,advance
01:24:11,0 days,off-peak
01:24:42,0 days,off-peak
01:27:45,0 days,off-peak
01:30:45,0 days,off-peak
01:46:29,1 days,advance
01:50:18,0 days,off-peak
01:52:14,1 days,advance
02:07:04,0 days,off-peak
02:10:09,0 days,off-peak
02:20:52,0 days,off-peak
02:38:11,0 days,off-peak
02:50:38,0 days,off-peak
02:51:20,0 days,off-peak
03:13:43,1 days,advance
03:16:48,1 days,advance
03:18:57,1 days,advance
03:20:12,1 days,advance
03:24:32,0 days,off-peak
03:26:17,0 days,off-peak
03:33:15,0 days,off-peak
03:34:52,1 days,advance
03:56:53,1 days,advance
04:33:15,1 days,advance
04:42:58,0 days,anytime
04:46:09,0 days,anytime
04:51:10,0 days,anytime
04:56:47,0 days,anytime
04:56:57,0 days,anytime
04:57:17,0 days,anytime
05:01:11,0 days,anytime
05:04:14,0 days,anytime
05:06:50,0 days,anytime
05:09:06,0 days,anytime
05:10:01,0 days,anytime
05:13:36,0 days,anytime
05:17:04,0 days,anytime
05:18:15,0 days,anytime
05:19:08,0 days,anytime
05:27:35,1 days,advance
05:40:27,0 days,anytime
05:43:17,1 days,advance
05:58:17,0 days,anytime
05:58:18,1 days,advance
06:01:01,1 days,advance
06:01:49,0 days,anytime
06:05:46,0 days,anytime
06:06:36,0 days,anytime
06:10:50,1 days,advance
06:11:24,0 days,anytime
06:11:54,0 days,anytime
06:12:43,0 days,anytime
06:14:54,0 days,anytime
06:20:23,0 days,anytime
06:27:42,0 days,anytime
06:31:47,0 days,anytime
06:32:24,0 days,anytime
06:35:56,0 days,anytime
06:38:42,0 days,anytime
06:39:46,0 days,anytime
06:39:48,0 days,anytime
06:41:37,0 days,anytime
06:54:34,0 days,anytime
07:03:45,0 days,anytime
07:05:02,0 days,anytime
07:14:29,0 days,anytime
07:17:49,1 days,advance
07:18:15,0 days,anytime
07:19:19,0 days,anytime
07:19:56,0 days,anytime
07:20:30,0 days,anytime
07:21:23,0 days,anytime
07:21:48,0 days,anytime
07:23:52,1 days,advance
07:25:02,0 days,anytime
07:25:28,0 days,anytime
07:27:49,0 days,anytime
07:28:13,0 days,anytime
07:29:11,0 days,anytime
07:42:40,0 days,off-peak
07:45:16,1 days,advance
07:46:27,1 days,advance
07:46:29,1 days,advance
07:47:47,0 days,anytime
07:50:10,1 days,advance
07:54:57,0 days,anytime
07:58:04,1 days,advance
07:58:17,1 days,advance
08:05:57,1 days,advance
08:07:04,1 days,advance
08:09:00,1 days,advance
08:09:42,1 days,advance
08:11:10,1 days,advance
08:14:47,1 days,advance
08:16:27,1 days,advance
08:21:46,1 days,advance
08:22:52,1 days,advance
08:25:35,1 days,advance
08:29:13,1 days,advance
08:56:14,1 days,advance
09:02:37,0 days,off-peak
09:03:33,1 days,advance
09:04:21,1 days,advance
09:05:18,1 days,advance
09:12:19,0 days,off-peak
09:14:51,1 days,advance
09:23:26,0 days,off-peak
09:32:43,1 days,advance
09:33:54,0 days,off-peak
09:34:33,1 days,advance
09:34:38,1 days,advance
09:36:32,1 days,advance
09:36:40,0 days,off-peak
09:37:22,1 days,advance
09:38:05,1 days,advance
09:39:14,1 days,advance
09:40:32,1 days,advance
09:42:19,0 days,off-peak
09:44:03,1 days,advance
09:44:48,0 days,off-peak
09:44:48,1 days,advance
09:47:12,1 days,advance
10:16:33,0 days,off-peak
10:20:10,1 days,advance
10:26:21,0 days,off-peak
10:30:15,1 days,advance
10:32:02,1 days,advance
10:44:06,0 days,off-peak
10:44:13,0 days,off-peak
10:59:56,1 days,advance
11:00:19,0 days,off-peak
11:05:55,1 days,advance
11:20:16,0 days,off-peak
11:23:29,0 days,off-peak
11:53:42,0 days,off-peak
11:57:28,1 days,advance
11:59:18,0 days,off-peak
11:59:51,1 days,advance
12:15:23,0 days,off-peak
12:29:50,0 days,off-peak
12:30:05,1 days,advance
12:37:54,0 days,off-peak
12:40:39,0 days,off-peak
12:44:49,1 days,advance
12:52:29,0 days,off-peak
13:24:07,0 days,off-peak
13:27:20,0 days,off-peak
13:29:21,1 days,advance
13:32:18,0 days,off-peak
13:38:15,0 days,off-peak
13:38:43,1 days,advance
13:55:43,1 days,advance
14:00:14,1 days,advance
14:03:24,0 days,off-peak
14:12:36,0 days,off-peak
14:21:55,0 days,off-peak
14:26:46,0 days,off-peak
14:31:56,0 days,anytime
14:37:50,0 days,anytime
14:41:35,0 days,anytime
14:45:57,1 days,advance
14:47:43,0 days,anytime
14:51:05,0 days,anytime
14:54:27,0 days,anytime
14:56:23,0 days,anytime
15:06:15,0 days,off-peak
15:07:06,1 days,advance
15:10:35,1 days,advance
15:11:05,0 days,off-peak
15:11:37,0 days,anytime
15:22:13,1 days,advance
15:39:43,1 days,advance
15:44:41,1 days,advance
15:49:18,1 days,advance
16:01:01,0 days,anytime
16:01:46,0 days,anytime
16:04:06,1 days,advance
16:07:06,0 days,anytime
16:14:35,0 days,anytime
16:14:43,0 days,anytime
16:24:11,1 days,advance
16:39:11,1 days,advance
16:50:38,1 days,advance
17:02:08,1 days,advance
17:13:48,1 days,advance
17:19:28,0 days,anytime
17:20:44,0 days,anytime
17:22:17,1 days,advance
17:22:34,1 days,advance
17:27:00,0 days,anytime
17:28:37,0 days,anytime
17:28:41,0 days,anytime
17:29:45,0 days,anytime
17:31:39,1 days,advance
17:34:17,1 days,advance
17:35:30,1 days,advance
17:36:43,1 days,advance
17:39:49,1 days,advance
17:56:35,1 days,advance
17:59:55,1 days,advance
18:05:58,1 days,advance
18:08:14,1 days,advance
18:10:08,1 days,advance
18:12:29,1 days,advance
18:12:36,0 days,anytime
18:12:53,0 days,anytime
18:12:54,0 days,anytime
18:13:47,1 days,advance
18:31:09,0 days,off-peak
18:32:55,0 days,off-peak
18:41:55,0 days,off-peak
18:46:19,1 days,advance
18:46:58,0 days,off-peak
18:49:08,0 days,off-peak
18:50:28,0 days,off-peak
18:54:17,0 days,off-peak
18:55:56,0 days,off-peak
18:56:15,1 days,advance
18:57:35,1 days,advance
19:22:19,1 days,advance
19:22:36,1 days,advance
19:28:18,1 days,advance
19:32:52,1 days,advance
19:33:11,1 days,advance
19:33:26,1 days,advance
19:35:56,0 days,off-peak
19:42:49,1 days,advance
19:44:04,1 days,advance
19:50:42,1 days,advance
19:52:36,1 days,advance
20:01:12,0 days,off-peak
20:01:12,1 days,advance
20:05:44,0 days,off-peak
20:12:11,0 days,off-peak
20:14:06,0 days,off-peak
20:14:34,0 days,off-peak
20:18:56,1 days,advance
20:19:30,1 days,advance
20:19:31,1 days,advance
20:20:58,1 days,advance
20:24:19,1 days,advance
20:24:24,1 days,advance
20:25:35,1 days,advance
20:25:53,1 days,advance
20:28:48,1 days,advance
20:28:53,1 days,advance
20:29:09,1 days,advance
20:44:02,0 days,off-peak
21:35:40,1 days,advance
21:36:04,1 days,advance
21:40:31,1 days,advance
21:46:15,1 days,advance
21:49:18,1 days,advance
21:57:02,1 days,advance
22:25:33,1 days,advance
22:34:12,1 days,advance
22:35:10,1 days,advance
22:37:50,1 days,advance
22:38:03,1 days,advance
22:41:38,1 days,advance
22:43:19,1 days,advance
22:44:03,1 days,advance
23:05:58,1 days,advance
23:44:27,1 days,advance
00:04:33,1 days,advance
00:08:14,0 days,off-peak
00:08:22,0 days,off-peak
00:10:48,0 days,off-peak
00:16:20,0 days,off-peak
00:25:19,0 days,off-peak
00:27:45,0 days,off-peak
00:41:56,0 days,off-peak
00:44:12,0 days,off-peak
00:45:30,1 days,advance
00:46:25,0 days,off-peak
01:02:12,0 days,off-peak
01:08:00,0 days,off-peak
01:15:33,1 days,advance
01:22:04,0 days,off-peak
01:27:41,0 days,off-peak
01:41:46,1 days,advance
01:43:42,1 days,advance
01:52:25,0 days,off-peak
01:55:57,0 days,off-peak
02:01:14,1 days,advance
02:02:54,1 days,advance
02:16:53,0 days,off-peak
02:23:18,0 days,off-peak
02:24:27,0 days,off-peak
02:26:23,0 days,off-peak
02:41:28,0 days,off-peak
02:46:55,0 days,off-peak
02:49:32,0 days,off-peak
03:08:51,0 days,off-peak
03:11:51,0 days,off-peak
03:17:20,1 days,advance
03:20:04,1 days,advance
03:21:28,0 days,off-peak
03:35:42,0 days,off-peak
03:43:03,0 days,off-peak
03:57:03,0 days,off-peak
03:58:35,1 days,advance
04:15:23,1 days,advance
04:20:54,0 days,off-peak
04:23:00,0 days,off-peak
04:28:50,0 days,off-peak
04:30:15,1 days,advance
04:57:31,0 days,anytime
04:59:42,0 days,anytime
05:01:45,0 days,anytime
05:02:18,0 days,anytime
05:03:48,0 days,anytime
05:05:38,0 days,anytime
05:10:34,0 days,anytime
05:16:24,1 days,advance
05:16:43,1 days,advance
05:23:00,0 days,anytime
05:23:51,1 days,advance
05:23:53,0 days,anytime
05:24:43,1 days,advance
05:25:31,0 days,anytime
05:26:34,0 days,anytime
05:29:03,0 days,anytime
05:45:07,1 days,advance
05:48:36,1 days,advance
05:48:42,1 days,advance
05:49:35,1 days,advance
05:51:11,0 days,anytime
05:58:00,0 days,anytime
06:00:47,0 days,anytime
06:01:57,0 days,anytime
06:02:06,0 days,anytime
06:05:43,0 days,anytime
06:07:41,1 days,advance
06:08:13,0 days,anytime
06:10:24,0 days,anytime
06:19:06,0 days,anytime
06:23:25,0 days,anytime
06:33:29,0 days,anytime
06:34:39,0 days,anytime
06:35:01,0 days,anytime
06:44:22,0 days,anytime
06:57:10,0 days,anytime
06:57:29,0 days,anytime
06:57:59,0 days,anytime
07:00:16,1 days,advance
07:04:14,0 days,anytime
07:18:12,0 days,anytime
07:27:38,1 days,advance
07:29:02,0 days,anytime
07:40:10,0 days,off-peak
07:41:20,0 days,off-peak
07:43:15,0 days,off-peak
07:45:58,0 days,off-peak
07:51:43,1 days,advance
07:54:46,0 days,off-peak
07:56:25,1 days,advance
08:02:11,0 days,off-peak
08:02:50,1 days,advance
08:03:21,1 days,advance
08:03:45,1 days,advance
08:04:33,1 days,advance
08:05:33,1 days,advance
08:07:27,1 days,advance
08:09:45,1 days,advance
08:13:11,1 days,advance
08:15:51,1 days,advance
08:15:58,1 days,advance
08:16:41,1 days,advance
08:20:20,1 days,advance
08:22:06,1 days,advance
08:23:04,1 days,advance
08:23:09,1 days,advance
08:23:57,0 days,off-peak
08:24:14,1 days,advance
08:24:28,0 days,off-peak
08:24:49,1 days,advance
08:25:08,1 days,advance
08:29:58,1 days,advance
08:40:34,1 days,advance
09:00:05,1 days,advance
09:02:34,1 days,advance
09:02:59,0 days,off-peak
09:14:43,1 days,advance
09:20:14,0 days,off-peak
09:21:00,0 days,off-peak
09:28:04,0 days,off-peak
09:29:48,0 days,off-peak
09:29:52,0 days,off-peak
09:38:03,0 days,off-peak
09:39:45,1 days,advance
09:41:27,1 days,advance
09:55:58,1 days,advance
09:59:02,0 days,off-peak
10:06:50,1 days,advance
10:11:46,0 days,off-peak
10:15:47,1 days,advance
10:16:43,1 days,advance
10:17:02,1 days,advance
10:19:30,1 days,advance
10:24:09,1 days,advance
10:25:18,1 days,advance
10:30:35,1 days,advance
10:36:16,1 days,advance
10:41:32,1 days,advance
10:44:16,1 days,advance
10:44:37,1 days,advance
10:45:01,0 days,off-peak
10:52:21,1 days,advance
10:58:13,1 days,advance
11:19:03,1 days,advance
11:19:26,0 days,off-peak
11:19:41,0 days,off-peak
11:38:10,0 days,off-peak
11:45:56,0 days,off-peak
11:51:13,1 days,advance
11:55:29,1 days,advance
12:01:12,1 days,advance
12:04:58,0 days,off-peak
12:11:45,1 days,advance
12:11:58,1 days,advance
12:18:58,1 days,advance
12:19:28,1 days,advance
12:23:25,0 days,off-peak
12:52:36,0 days,off-peak
13:11:05,0 days,off-peak
13:34:40,1 days,advance
13:36:48,1 days,advance
14:00:00,0 days,off-peak
14:08:05,0 days,off-peak
14:10:23,0 days,off-peak
14:29:17,0 days,off-peak
14:31:10,0 days,anytime
14:36:31,0 days,anytime
14:38:05,0 days,anytime
14:38:19,0 days,anytime
14:40:29,0 days,anytime
14:47:36,0 days,anytime
14:50:20,0 days,anytime
14:53:09,0 days,anytime
14:56:24,1 days,advance
14:58:24,0 days,anytime
14:59:05,1 days,advance
15:03:12,1 days,advance
15:03:57,0 days,anytime
15:13:54,0 days,off-peak
15:14:14,0 days,anytime
15:21:10,0 days,anytime
15:21:58,1 days,advance
15:25:04,1 days,advance
15:34:03,1 days,advance
15:46:21,1 days,advance
15:52:27,1 days,advance
15:52:34,0 days,anytime
15:54:52,0 days,anytime
16:01:45,0 days,anytime
16:03:19,0 days,anytime
16:03:52,0 days,anytime
16:04:42,0 days,anytime
16:05:16,0 days,anytime
16:06:36,0 days,anytime
16:09:02,0 days,anytime
16:10:56,0 days,anytime
16:20:04,0 days,anytime
16:22:08,0 days,anytime
17:02:21,0 days,anytime
17:05:40,0 days,anytime
17:07:32,0 days,anytime
17:07:56,1 days,advance
17:08:16,0 days,anytime
17:08:37,1 days,advance
17:13:00,0 days,anytime
17:15:41,0 days,anytime
17:15:42,0 days,anytime
17:16:07,0 days,anytime
17:16:53,0 days,anytime
17:17:34,1 days,advance
17:19:00,0 days,anytime
17:26:07,0 days,anytime
17:29:34,0 days,anytime
17:30:18,1 days,advance
17:32:52,1 days,advance
17:38:35,1 days,advance
17:38:52,1 days,advance
17:46:54,1 days,advance
17:49:24,1 days,advance
18:06:43,1 days,advance
18:11:03,1 days,advance
18:17:38,0 days,anytime
18:19:19,1 days,advance
18:23:49,0 days,off-peak
18:38:51,0 days,off-peak
18:41:51,1 days,advance
18:45:17,1 days,advance
18:47:09,1 days,advance
18:49:06,1 days,advance
18:49:14,0 days,off-peak
18:51:49,1 days,advance
19:32:13,0 days,off-peak
19:33:55,0 days,off-peak
19:37:52,0 days,off-peak
19:38:06,1 days,advance
19:43:11,1 days,advance
19:56:32,1 days,advance
20:02:56,1 days,advance
20:04:48,0 days,off-peak
20:08:32,1 days,advance
20:09:34,1 days,advance
20:14:47,0 days,off-peak
20:18:11,1 days,advance
20:19:49,1 days,advance
20:21:02,1 days,advance
20:28:04,1 days,advance
20:28:42,1 days,advance
20:28:46,1 days,advance
20:30:32,1 days,advance
20:34:23,0 days,off-peak
20:38:30,0 days,off-peak
20:41:36,0 days,off-peak
20:43:21,1 days,advance
20:45:59,1 days,advance
20:46:00,0 days,off-peak
21:24:24,1 days,advance
21:34:18,1 days,advance
21:45:37,1 days,advance
21:52:02,1 days,advance
21:53:26,1 days,advance
21:57:53,1 days,advance
22:32:53,1 days,advance
22:36:51,1 days,advance
22:39:20,1 days,advance
22:44:43,1 days,advance
23:01:16,1 days,advance
23:02:35,1 days,advance
23:03:20,1 days,advance
23:33:24,1 days,advance
23:40:03,1 days,advance
00:05:40,0 days,off-peak
00:05:42,0 days,off-peak
00:13:37,0 days,off-peak
00:18:38,0 days,off-peak
00:19:34,0 days,off-peak
00:35:51,0 days,off-peak
00:41:40,0 days,off-peak
00:42:29,0 days,off-peak
00:52:36,0 days,off-peak
01:12:17,0 days,off-peak
01:18:09,1 days,advance
01:20:51,1 days,advance
01:27:28,0 days,off-peak
01:28:31,0 days,off-peak
01:39:17,1 days,advance
02:07:14,1 days,advance
02:28:25,0 days,off-peak
03:00:09,0 days,off-peak
03:01:48,0 days,off-peak
03:04:35,0 days,off-peak
03:07:25,0 days,off-peak
03:13:57,1 days,advance
03:14:30,0 days,off-peak
03:23:37,1 days,advance
03:32:33,1 days,advance
03:33:26,1 days,advance
03:38:42,0 days,off-peak
03:39:08,0 days,off-peak
03:42:16,0 days,off-peak
03:42:41,1 days,advance
04:01:05,0 days,off-peak
04:15:56,1 days,advance
04:16:03,0 days,off-peak
04:29:32,1 days,advance
04:32:08,1 days,advance
04:37:33,0 days,anytime
04:41:20,0 days,anytime
04:43:27,1 days,advance
04:54:26,0 days,anytime
04:56:51,0 days,anytime
04:56:59,0 days,anytime
05:01:20,0 days,anytime
05:11:22,0 days,anytime
05:11:24,0 days,anytime
05:13:34,0 days,anytime
05:14:23,0 days,anytime
05:54:01,1 days,advance
05:58:42,0 days,anytime
06:01:07,0 days,anytime
06:03:47,1 days,advance
06:03:53,0 days,anytime
06:08:00,1 days,advance
06:08:08,0 days,anytime
06:08:29,0 days,anytime
06:08:44,0 days,anytime
06:10:41,1 days,advance
06:14:53,0 days,anytime
06:17:23,1 days,advance
06:28:15,1 days,advance
06:34:38,1 days,advance
06:35:23,1 days,advance
06:36:12,0 days,anytime
06:36:12,0 days,anytime
06:37:59,0 days,anytime
06:39:27,0 days,anytime
06:44:24,0 days,anytime
06:44:25,0 days,anytime
06:46:16,0 days,anytime
06:50:38,1 days,advance
06:52:06,0 days,anytime
06:52:36,0 days,anytime
07:16:25,0 days,anytime
07:18:14,0 days,anytime
07:18:52,0 days,anytime
07:21:34,0 days,anytime
07:23:34,0 days,anytime
07:25:28,0 days,anytime
07:25:48,0 days,anytime
07:30:52,0 days,off-peak
07:37:03,0 days,off-peak
07:45:56,1 days,advance
07:48:28,1 days,advance
07:50:42,1 days,advance
07:52:10,1 days,advance
07:53:18,1 days,advance
07:53:40,0 days,anytime
07:57:39,1 days,advance
08:01:12,1 days,advance
08:02:27,1 days,advance
08:03:38,1 days,advance
08:14:40,1 days,advance
08:15:16,1 days,advance
08:17:49,1 days,advance
08:22:02,1 days,advance
08:23:35,1 days,advance
08:24:11,1 days,advance
08:26:17,1 days,advance
08:33:14,1 days,advance
09:00:50,1 days,advance
09:01:05,1 days,advance
09:01:54,0 days,off-peak
09:01:54,1 days,advance
09:05:42,0 days,off-peak
09:13:21,1 days,advance
09:15:32,0 days,off-peak
09:17:36,0 days,off-peak
09:26:39,0 days,off-peak
