Date of Journey,Departure Station,Arrival Destination,Departure Time,Percentage Delay,Delay Category,Departure Hour,DayOfWeek,IsWeekend,Month,IsPeakHour
2024-01-01,liverpool lime street,manchester piccadilly,2025-11-24 10:30:00,0.0,On Time,10,0,0,11,False
2024-01-01,london kings cross,york,2025-11-24 09:30:00,0.0,On Time,9,0,0,11,True
2024-01-01,london euston,birmingham new street,2025-11-24 12:45:00,0.0,On Time,12,0,0,11,False
2024-01-01,london euston,birmingham new street,2025-11-24 13:15:00,0.0,On Time,13,0,0,11,False
2024-01-01,manchester piccadilly,london paddington,2025-11-24 13:45:00,0.0,On Time,13,0,0,11,False
2024-01-01,oxford,bristol temple meads,2025-11-24 14:15:00,32.0,Long,14,0,0,11,False
2024-01-01,london paddington,reading,2025-11-24 15:00:00,0.0,On Time,15,0,0,11,False
2024-01-01,london euston,birmingham new street,2025-11-24 16:30:00,0.0,On Time,16,0,0,11,True
2024-01-01,london kings cross,york,2025-11-24 17:00:00,0.0,On Time,17,0,0,11,True
2024-01-01,london st pancras,birmingham new street,2025-11-24 17:45:00,0.0,On Time,17,0,0,11,True
2024-01-01,london paddington,reading,2025-11-24 18:15:00,0.0,On Time,18,0,0,11,True
2024-01-01,london kings cross,york,2025-11-24 17:45:00,0.0,On Time,17,0,0,11,True
2024-01-01,birmingham new street,tamworth,2025-11-24 18:45:00,0.0,On Time,18,0,0,11,True
2024-01-01,london euston,birmingham new street,2025-11-24 23:30:00,-0.0,On Time,23,0,0,11,False
2024-01-01,manchester piccadilly,liverpool lime street,2025-11-24 02:45:00,0.0,On Time,2,0,0,11,False
2024-01-01,london st pancras,birmingham new street,2025-11-24 04:30:00,0.0,On Time,4,0,0,11,False
2024-01-01,birmingham new street,london st pancras,2025-11-24 04:30:00,0.0,On Time,4,0,0,11,False
2024-01-01,liverpool lime street,manchester piccadilly,2025-11-24 05:00:00,0.0,On Time,5,0,0,11,False
2024-01-02,london euston,birmingham new street,2025-11-24 02:15:00,cancelled,Cancelled,2,0,0,11,False
2024-01-01,manchester piccadilly,liverpool lime street,2025-11-24 05:30:00,0.0,On Time,5,0,0,11,False
2024-01-01,liverpool lime street,manchester piccadilly,2025-11-24 06:00:00,0.0,On Time,6,0,0,11,False
2024-01-01,london kings cross,york,2025-11-24 06:15:00,0.0,On Time,6,0,0,11,False
2024-01-01,london kings cross,york,2025-11-24 06:30:00,0.0,On Time,6,0,0,11,False
2024-01-01,london st pancras,birmingham new street,2025-11-24 06:30:00,0.0,On Time,6,0,0,11,False
2024-01-02,manchester piccadilly,london euston,2025-11-24 03:30:00,10.0,Short,3,0,0,11,False
2024-01-01,birmingham new street,london st pancras,2025-11-24 06:30:00,0.0,On Time,6,0,0,11,False
2024-01-01,london kings cross,york,2025-11-24 06:45:00,0.0,On Time,6,0,0,11,False
2024-01-01,london kings cross,york,2025-11-24 07:30:00,0.0,On Time,7,0,0,11,True
2024-01-01,london paddington,london waterloo,2025-11-24 07:30:00,0.0,On Time,7,0,0,11,True
2024-01-01,london kings cross,york,2025-11-24 07:45:00,0.0,On Time,7,0,0,11,True
2024-01-01,liverpool lime street,london euston,2025-11-24 08:00:00,17.77777777777778,Medium,8,0,0,11,True
2024-01-01,london st pancras,birmingham new street,2025-11-24 08:00:00,0.0,On Time,8,0,0,11,True
2024-01-01,manchester piccadilly,sheffield,2025-11-24 08:15:00,0.0,On Time,8,0,0,11,True
2024-01-01,london paddington,reading,2025-11-24 08:45:00,0.0,On Time,8,0,0,11,True
2024-01-01,london paddington,reading,2025-11-24 07:45:00,0.0,On Time,7,0,0,11,True
2024-01-01,liverpool lime street,manchester piccadilly,2025-11-24 09:15:00,0.0,On Time,9,0,0,11,True
2024-01-02,birmingham new street,london st pancras,2025-11-24 06:30:00,0.0,On Time,6,0,0,11,False
2024-01-02,london st pancras,wolverhampton,2025-11-24 06:30:00,0.0,On Time,6,0,0,11,False
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-24 07:45:00,0.0,On Time,7,0,0,11,True
2024-01-01,london euston,birmingham new street,2025-11-24 09:45:00,0.0,On Time,9,0,0,11,True
2024-01-02,manchester piccadilly,london euston,2025-11-24 08:00:00,16.363636363636363,Medium,8,0,0,11,True
2024-01-01,london kings cross,york,2025-11-24 11:45:00,0.0,On Time,11,0,0,11,False
2024-01-01,manchester piccadilly,liverpool lime street,2025-11-24 13:15:00,0.0,On Time,13,0,0,11,False
2024-01-01,london st pancras,birmingham new street,2025-11-24 14:15:00,0.0,On Time,14,0,0,11,False
2024-01-01,london paddington,reading,2025-11-24 15:30:00,0.0,On Time,15,0,0,11,False
2024-01-01,manchester piccadilly,liverpool lime street,2025-11-24 16:00:00,0.0,On Time,16,0,0,11,True
2024-01-01,london euston,birmingham new street,2025-11-24 16:00:00,0.0,On Time,16,0,0,11,True
2024-01-01,liverpool lime street,london euston,2025-11-24 17:00:00,0.0,On Time,17,0,0,11,True
2024-01-01,liverpool lime street,manchester piccadilly,2025-11-24 17:15:00,0.0,On Time,17,0,0,11,True
2024-01-01,manchester piccadilly,liverpool lime street,2025-11-24 17:45:00,0.0,On Time,17,0,0,11,True
2024-01-02,london st pancras,birmingham new street,2025-11-24 15:00:00,0.0,On Time,15,0,0,11,False
2024-01-01,liverpool lime street,manchester piccadilly,2025-11-24 18:30:00,0.0,On Time,18,0,0,11,True
2024-01-02,london st pancras,birmingham new street,2025-11-24 15:30:00,0.0,On Time,15,0,0,11,False
2024-01-01,london st pancras,birmingham new street,2025-11-24 18:45:00,0.0,On Time,18,0,0,11,True
2024-01-02,london euston,birmingham new street,2025-11-24 16:00:00,cancelled,Cancelled,16,0,0,11,True
2024-01-02,london st pancras,birmingham new street,2025-11-24 17:00:00,0.0,On Time,17,0,0,11,True
2024-01-02,london st pancras,birmingham new street,2025-11-24 17:45:00,0.0,On Time,17,0,0,11,True
2024-01-02,london st pancras,birmingham new street,2025-11-24 18:00:00,0.0,On Time,18,0,0,11,True
2024-01-02,london st pancras,birmingham new street,2025-11-24 18:45:00,0.0,On Time,18,0,0,11,True
2024-01-02,london kings cross,york,2025-11-24 17:45:00,0.0,On Time,17,0,0,11,True
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-24 19:15:00,0.0,On Time,19,0,0,11,True
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-24 20:15:00,0.0,On Time,20,0,0,11,False
2024-01-02,liverpool lime street,manchester piccadilly,2025-11-24 20:15:00,0.0,On Time,20,0,0,11,False
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-24 00:00:00,0.0,On Time,0,0,0,11,False
2024-01-02,london st pancras,birmingham new street,2025-11-24 00:30:00,0.0,On Time,0,0,0,11,False
2024-01-02,oxford,bristol temple meads,2025-11-24 22:30:00,0.0,On Time,22,0,0,11,False
2024-01-02,york,durham,2025-11-24 01:45:00,0.0,On Time,1,0,0,11,False
2024-01-02,manchester piccadilly,london euston,2025-11-24 01:45:00,0.0,On Time,1,0,0,11,False
2024-01-02,york,durham,2025-11-24 01:45:00,0.0,On Time,1,0,0,11,False
2024-01-02,london paddington,reading,2025-11-24 02:00:00,0.0,On Time,2,0,0,11,False
2024-01-02,london euston,birmingham new street,2025-11-24 02:15:00,cancelled,Cancelled,2,0,0,11,False
2024-01-03,liverpool lime street,manchester piccadilly,2025-11-24 23:30:00,-0.0,On Time,23,0,0,11,False
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-24 02:30:00,0.0,On Time,2,0,0,11,False
2024-01-03,london kings cross,york,2025-11-24 23:45:00,-0.0,On Time,23,0,0,11,False
2024-01-03,york,durham,2025-11-24 23:45:00,-0.0,On Time,23,0,0,11,False
2024-01-02,liverpool lime street,manchester piccadilly,2025-11-24 02:45:00,0.0,On Time,2,0,0,11,False
2024-01-03,york,durham,2025-11-24 23:45:00,-0.0,On Time,23,0,0,11,False
2024-01-03,manchester piccadilly,liverpool lime street,2025-11-24 00:00:00,0.0,On Time,0,0,0,11,False
2024-01-03,liverpool lime street,manchester piccadilly,2025-11-24 00:15:00,0.0,On Time,0,0,0,11,False
2024-01-02,london paddington,reading,2025-11-24 03:15:00,0.0,On Time,3,0,0,11,False
2024-01-02,manchester piccadilly,london euston,2025-11-24 03:30:00,10.0,Short,3,0,0,11,False
2024-01-03,liverpool lime street,manchester piccadilly,2025-11-24 01:30:00,0.0,On Time,1,0,0,11,False
2024-01-03,london st pancras,birmingham new street,2025-11-24 01:30:00,0.0,On Time,1,0,0,11,False
2024-01-02,london st pancras,birmingham new street,2025-11-24 04:30:00,0.0,On Time,4,0,0,11,False
2024-01-03,manchester piccadilly,london paddington,2025-11-24 01:45:00,0.0,On Time,1,0,0,11,False
2024-01-03,london kings cross,york,2025-11-24 01:45:00,0.0,On Time,1,0,0,11,False
2024-01-03,liverpool lime street,leeds,2025-11-24 01:45:00,0.0,On Time,1,0,0,11,False
2024-01-03,liverpool lime street,manchester piccadilly,2025-11-24 02:00:00,0.0,On Time,2,0,0,11,False
2024-01-03,london paddington,reading,2025-11-24 02:00:00,0.0,On Time,2,0,0,11,False
2024-01-03,london paddington,reading,2025-11-24 02:00:00,0.0,On Time,2,0,0,11,False
2024-01-02,london st pancras,birmingham new street,2025-11-24 05:00:00,cancelled,Cancelled,5,0,0,11,False
2024-01-03,london paddington,reading,2025-11-24 02:00:00,0.0,On Time,2,0,0,11,False
2024-01-03,london kings cross,york,2025-11-24 02:00:00,0.0,On Time,2,0,0,11,False
2024-01-02,london euston,birmingham new street,2025-11-24 05:15:00,0.0,On Time,5,0,0,11,False
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-24 05:45:00,0.0,On Time,5,0,0,11,False
2024-01-02,london euston,birmingham new street,2025-11-24 05:45:00,0.0,On Time,5,0,0,11,False
2024-01-03,liverpool lime street,manchester piccadilly,2025-11-24 03:00:00,0.0,On Time,3,0,0,11,False
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-24 06:00:00,0.0,On Time,6,0,0,11,False
2024-01-02,london kings cross,york,2025-11-24 06:15:00,27.27272727272727,Medium,6,0,0,11,False
2024-01-03,london paddington,reading,2025-11-24 03:15:00,0.0,On Time,3,0,0,11,False
2024-01-02,london paddington,reading,2025-11-24 06:15:00,0.0,On Time,6,0,0,11,False
2024-01-02,london paddington,reading,2025-11-24 06:15:00,0.0,On Time,6,0,0,11,False
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-24 06:15:00,0.0,On Time,6,0,0,11,False
2024-01-02,london kings cross,york,2025-11-24 06:15:00,27.27272727272727,Medium,6,0,0,11,False
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-24 06:15:00,0.0,On Time,6,0,0,11,False
2024-01-02,birmingham new street,stafford,2025-11-24 06:30:00,0.0,On Time,6,0,0,11,False
2024-01-02,london euston,birmingham new street,2025-11-24 06:30:00,0.0,On Time,6,0,0,11,False
2024-01-02,birmingham new street,london st pancras,2025-11-24 06:30:00,0.0,On Time,6,0,0,11,False
2024-01-02,london st pancras,birmingham new street,2025-11-24 06:30:00,0.0,On Time,6,0,0,11,False
2024-01-03,manchester piccadilly,london euston,2025-11-24 03:30:00,16.363636363636363,Medium,3,0,0,11,False
2024-01-02,birmingham new street,london euston,2025-11-24 06:30:00,0.0,On Time,6,0,0,11,False
2024-01-02,york,doncaster,2025-11-24 06:30:00,0.0,On Time,6,0,0,11,False
2024-01-02,london euston,manchester piccadilly,2025-11-24 06:30:00,0.0,On Time,6,0,0,11,False
2024-01-02,london st pancras,wolverhampton,2025-11-24 06:30:00,0.0,On Time,6,0,0,11,False
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-24 06:45:00,0.0,On Time,6,0,0,11,False
2024-01-03,london kings cross,york,2025-11-24 04:00:00,0.0,On Time,4,0,0,11,False
2024-01-03,london kings cross,york,2025-11-24 04:00:00,0.0,On Time,4,0,0,11,False
2024-01-02,london euston,birmingham new street,2025-11-24 07:15:00,0.0,On Time,7,0,0,11,True
2024-01-02,london euston,birmingham new street,2025-11-24 07:30:00,0.0,On Time,7,0,0,11,True
2024-01-02,london kings cross,york,2025-11-24 07:30:00,0.0,On Time,7,0,0,11,True
2024-01-02,liverpool lime street,manchester piccadilly,2025-11-24 07:30:00,0.0,On Time,7,0,0,11,True
2024-01-02,london kings cross,york,2025-11-24 07:30:00,0.0,On Time,7,0,0,11,True
2024-01-03,london st pancras,birmingham new street,2025-11-24 04:30:00,0.0,On Time,4,0,0,11,False
2024-01-03,birmingham new street,london st pancras,2025-11-24 04:30:00,0.0,On Time,4,0,0,11,False
2024-01-02,reading,swindon,2025-11-24 07:30:00,0.0,On Time,7,0,0,11,True
2024-01-02,london kings cross,york,2025-11-24 07:45:00,0.0,On Time,7,0,0,11,True
2024-01-02,london euston,birmingham new street,2025-11-24 08:00:00,0.0,On Time,8,0,0,11,True
2024-01-02,liverpool lime street,london euston,2025-11-24 08:00:00,cancelled,Cancelled,8,0,0,11,True
2024-01-02,liverpool lime street,london euston,2025-11-24 08:00:00,cancelled,Cancelled,8,0,0,11,True
2024-01-03,liverpool lime street,london euston,2025-11-24 05:00:00,0.0,On Time,5,0,0,11,False
2024-01-02,liverpool lime street,london euston,2025-11-24 08:00:00,cancelled,Cancelled,8,0,0,11,True
2024-01-02,london euston,manchester piccadilly,2025-11-24 08:00:00,0.0,On Time,8,0,0,11,True
2024-01-02,liverpool lime street,london euston,2025-11-24 08:00:00,cancelled,Cancelled,8,0,0,11,True
2024-01-02,london st pancras,birmingham new street,2025-11-24 08:00:00,cancelled,Cancelled,8,0,0,11,True
2024-01-02,oxford,bristol temple meads,2025-11-24 08:00:00,0.0,On Time,8,0,0,11,True
2024-01-02,liverpool lime street,london euston,2025-11-24 08:00:00,cancelled,Cancelled,8,0,0,11,True
2024-01-03,liverpool lime street,london euston,2025-11-24 05:00:00,0.0,On Time,5,0,0,11,False
2024-01-02,london st pancras,birmingham new street,2025-11-24 08:15:00,0.0,On Time,8,0,0,11,True
2024-01-02,london euston,birmingham new street,2025-11-24 08:15:00,0.0,On Time,8,0,0,11,True
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-24 08:30:00,0.0,On Time,8,0,0,11,True
2024-01-03,manchester piccadilly,liverpool lime street,2025-11-24 05:30:00,0.0,On Time,5,0,0,11,False
2024-01-02,london paddington,oxford,2025-11-24 07:45:00,0.0,On Time,7,0,0,11,True
2024-01-02,london paddington,reading,2025-11-24 08:45:00,0.0,On Time,8,0,0,11,True
2024-01-02,london paddington,reading,2025-11-24 07:45:00,0.0,On Time,7,0,0,11,True
2024-01-03,london euston,birmingham new street,2025-11-24 05:45:00,0.0,On Time,5,0,0,11,False
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-24 08:45:00,0.0,On Time,8,0,0,11,True
2024-01-02,london paddington,oxford,2025-11-24 07:45:00,0.0,On Time,7,0,0,11,True
2024-01-02,london kings cross,york,2025-11-24 07:45:00,0.0,On Time,7,0,0,11,True
2024-01-03,liverpool lime street,manchester piccadilly,2025-11-24 05:45:00,0.0,On Time,5,0,0,11,False
2024-01-02,london paddington,reading,2025-11-24 07:45:00,0.0,On Time,7,0,0,11,True
2024-01-02,manchester piccadilly,nottingham,2025-11-24 09:00:00,98.33333333333333,Long,9,0,0,11,True
2024-01-02,manchester piccadilly,leeds,2025-11-24 09:00:00,386.6666666666667,Extreme,9,0,0,11,True
2024-01-02,london kings cross,york,2025-11-24 09:00:00,0.0,On Time,9,0,0,11,True
2024-01-03,manchester piccadilly,liverpool lime street,2025-11-24 06:00:00,0.0,On Time,6,0,0,11,False
2024-01-02,london kings cross,york,2025-11-24 09:00:00,0.0,On Time,9,0,0,11,True
2024-01-03,manchester piccadilly,liverpool lime street,2025-11-24 06:00:00,0.0,On Time,6,0,0,11,False
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-24 09:00:00,0.0,On Time,9,0,0,11,True
2024-01-03,manchester piccadilly,liverpool lime street,2025-11-24 06:15:00,cancelled,Cancelled,6,0,0,11,False
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-24 09:15:00,0.0,On Time,9,0,0,11,True
2024-01-03,manchester piccadilly,liverpool lime street,2025-11-24 07:15:00,0.0,On Time,7,0,0,11,True
2024-01-03,york,doncaster,2025-11-24 06:30:00,0.0,On Time,6,0,0,11,False
2024-01-03,birmingham new street,london st pancras,2025-11-24 06:30:00,0.0,On Time,6,0,0,11,False
2024-01-03,london st pancras,birmingham new street,2025-11-24 06:30:00,0.0,On Time,6,0,0,11,False
2024-01-03,london st pancras,birmingham new street,2025-11-24 06:30:00,0.0,On Time,6,0,0,11,False
2024-01-03,london paddington,oxford,2025-11-24 07:45:00,0.0,On Time,7,0,0,11,True
2024-01-02,london kings cross,york,2025-11-24 09:45:00,cancelled,Cancelled,9,0,0,11,True
2024-01-03,london paddington,reading,2025-11-24 07:45:00,0.0,On Time,7,0,0,11,True
2024-01-03,london kings cross,york,2025-11-24 06:45:00,0.0,On Time,6,0,0,11,False
2024-01-03,london kings cross,york,2025-11-24 06:45:00,0.0,On Time,6,0,0,11,False
2024-01-03,london paddington,oxford,2025-11-24 07:45:00,0.0,On Time,7,0,0,11,True
2024-01-02,london kings cross,york,2025-11-24 09:45:00,cancelled,Cancelled,9,0,0,11,True
2024-01-03,manchester piccadilly,liverpool lime street,2025-11-24 07:15:00,0.0,On Time,7,0,0,11,True
2024-01-03,york,peterborough,2025-11-24 07:30:00,0.0,On Time,7,0,0,11,True
2024-01-02,london kings cross,york,2025-11-24 10:30:00,0.0,On Time,10,0,0,11,False
2024-01-03,liverpool lime street,manchester piccadilly,2025-11-24 07:30:00,0.0,On Time,7,0,0,11,True
2024-01-03,reading,swindon,2025-11-24 07:30:00,0.0,On Time,7,0,0,11,True
2024-01-03,liverpool lime street,manchester piccadilly,2025-11-24 07:30:00,0.0,On Time,7,0,0,11,True
2024-01-03,reading,swindon,2025-11-24 07:30:00,0.0,On Time,7,0,0,11,True
2024-01-02,liverpool lime street,manchester piccadilly,2025-11-24 10:45:00,0.0,On Time,10,0,0,11,False
2024-01-03,london kings cross,york,2025-11-24 07:45:00,0.0,On Time,7,0,0,11,True
2024-01-03,london euston,manchester piccadilly,2025-11-24 08:00:00,0.0,On Time,8,0,0,11,True
2024-01-03,liverpool lime street,london euston,2025-11-24 08:00:00,40.0,Long,8,0,0,11,True
2024-01-03,liverpool lime street,london euston,2025-11-24 08:00:00,40.0,Long,8,0,0,11,True
2024-01-03,liverpool lime street,london euston,2025-11-24 08:00:00,40.0,Long,8,0,0,11,True
2024-01-02,london kings cross,york,2025-11-24 11:00:00,0.0,On Time,11,0,0,11,False
2024-01-02,london st pancras,birmingham new street,2025-11-24 11:00:00,0.0,On Time,11,0,0,11,False
2024-01-03,london euston,manchester piccadilly,2025-11-24 07:45:00,0.0,On Time,7,0,0,11,True
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-24 11:15:00,0.0,On Time,11,0,0,11,False
2024-01-03,london euston,birmingham new street,2025-11-24 08:15:00,cancelled,Cancelled,8,0,0,11,True
2024-01-03,london euston,birmingham new street,2025-11-24 09:45:00,0.0,On Time,9,0,0,11,True
2024-01-03,london paddington,reading,2025-11-24 08:45:00,0.0,On Time,8,0,0,11,True
2024-01-03,manchester piccadilly,leeds,2025-11-24 09:00:00,82.22222222222221,Long,9,0,0,11,True
2024-01-03,liverpool lime street,manchester piccadilly,2025-11-24 09:00:00,0.0,On Time,9,0,0,11,True
2024-01-02,london st pancras,birmingham new street,2025-11-24 12:00:00,0.0,On Time,12,0,0,11,False
2024-01-03,london paddington,reading,2025-11-24 09:00:00,0.0,On Time,9,0,0,11,True
2024-01-03,london kings cross,liverpool lime street,2025-11-24 09:15:00,0.0,On Time,9,0,0,11,True
2024-01-02,liverpool lime street,manchester piccadilly,2025-11-24 11:15:00,106.66666666666667,Extreme,11,0,0,11,False
2024-01-03,london kings cross,liverpool lime street,2025-11-24 09:15:00,0.0,On Time,9,0,0,11,True
2024-01-03,london kings cross,york,2025-11-24 09:30:00,0.0,On Time,9,0,0,11,True
2024-01-03,london euston,birmingham new street,2025-11-24 09:30:00,0.0,On Time,9,0,0,11,True
2024-01-02,london paddington,reading,2025-11-24 12:45:00,0.0,On Time,12,0,0,11,False
2024-01-02,york,edinburgh,2025-11-24 12:45:00,0.0,On Time,12,0,0,11,False
2024-01-02,london euston,birmingham new street,2025-11-24 12:45:00,0.0,On Time,12,0,0,11,False
2024-01-02,reading,london paddington,2025-11-24 13:30:00,cancelled,Cancelled,13,0,0,11,False
2024-01-03,london kings cross,york,2025-11-24 10:30:00,0.0,On Time,10,0,0,11,False
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-24 13:30:00,0.0,On Time,13,0,0,11,False
2024-01-03,manchester piccadilly,liverpool lime street,2025-11-24 11:00:00,580.0,Extreme,11,0,0,11,False
2024-01-03,london st pancras,birmingham new street,2025-11-24 11:00:00,0.0,On Time,11,0,0,11,False
2024-01-03,london kings cross,york,2025-11-24 11:00:00,0.0,On Time,11,0,0,11,False
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-24 14:30:00,0.0,On Time,14,0,0,11,False
2024-01-02,london kings cross,york,2025-11-24 14:30:00,0.0,On Time,14,0,0,11,False
2024-01-02,london kings cross,york,2025-11-24 14:30:00,0.0,On Time,14,0,0,11,False
2024-01-03,london euston,birmingham new street,2025-11-24 11:45:00,0.0,On Time,11,0,0,11,False
2024-01-03,london kings cross,york,2025-11-24 11:45:00,0.0,On Time,11,0,0,11,False
2024-01-03,london st pancras,birmingham new street,2025-11-24 12:00:00,0.0,On Time,12,0,0,11,False
2024-01-02,london paddington,reading,2025-11-24 15:00:00,0.0,On Time,15,0,0,11,False
2024-01-02,london paddington,reading,2025-11-24 15:00:00,0.0,On Time,15,0,0,11,False
2024-01-02,london st pancras,birmingham new street,2025-11-24 15:15:00,0.0,On Time,15,0,0,11,False
2024-01-02,london paddington,reading,2025-11-24 15:30:00,0.0,On Time,15,0,0,11,False
2024-01-03,london euston,birmingham new street,2025-11-24 12:45:00,0.0,On Time,12,0,0,11,False
2024-01-02,york,edinburgh,2025-11-24 15:45:00,0.0,On Time,15,0,0,11,False
2024-01-03,london paddington,reading,2025-11-24 12:45:00,cancelled,Cancelled,12,0,0,11,False
2024-01-03,london euston,birmingham new street,2025-11-24 12:45:00,0.0,On Time,12,0,0,11,False
2024-01-02,london euston,birmingham new street,2025-11-24 15:45:00,0.0,On Time,15,0,0,11,False
2024-01-02,york,peterborough,2025-11-24 16:00:00,0.0,On Time,16,0,0,11,True
2024-01-02,london euston,birmingham new street,2025-11-24 16:00:00,cancelled,Cancelled,16,0,0,11,True
2024-01-02,london euston,birmingham new street,2025-11-24 16:00:00,cancelled,Cancelled,16,0,0,11,True
2024-01-02,liverpool lime street,manchester piccadilly,2025-11-24 16:00:00,0.0,On Time,16,0,0,11,True
2024-01-02,london st pancras,birmingham new street,2025-11-24 16:00:00,0.0,On Time,16,0,0,11,True
2024-01-02,london euston,birmingham new street,2025-11-24 16:00:00,cancelled,Cancelled,16,0,0,11,True
2024-01-02,london euston,birmingham new street,2025-11-24 16:00:00,cancelled,Cancelled,16,0,0,11,True
2024-01-02,london st pancras,birmingham new street,2025-11-24 16:00:00,0.0,On Time,16,0,0,11,True
2024-01-02,london kings cross,york,2025-11-24 16:15:00,0.0,On Time,16,0,0,11,True
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-24 16:15:00,0.0,On Time,16,0,0,11,True
2024-01-03,liverpool lime street,manchester piccadilly,2025-11-24 13:15:00,0.0,On Time,13,0,0,11,False
2024-01-03,liverpool lime street,manchester piccadilly,2025-11-24 13:15:00,0.0,On Time,13,0,0,11,False
2024-01-02,london kings cross,york,2025-11-24 17:45:00,0.0,On Time,17,0,0,11,True
2024-01-03,manchester piccadilly,london paddington,2025-11-24 13:45:00,0.0,On Time,13,0,0,11,False
2024-01-02,reading,swindon,2025-11-24 17:45:00,0.0,On Time,17,0,0,11,True
2024-01-02,birmingham new street,stafford,2025-11-24 17:45:00,0.0,On Time,17,0,0,11,True
2024-01-02,london kings cross,york,2025-11-24 17:15:00,0.0,On Time,17,0,0,11,True
2024-01-02,liverpool lime street,manchester piccadilly,2025-11-24 17:15:00,0.0,On Time,17,0,0,11,True
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-24 17:45:00,0.0,On Time,17,0,0,11,True
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-24 17:45:00,0.0,On Time,17,0,0,11,True
2024-01-03,liverpool lime street,london euston,2025-11-24 15:30:00,21.48148148148148,Medium,15,0,0,11,False
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-24 17:45:00,0.0,On Time,17,0,0,11,True
2024-01-03,manchester piccadilly,liverpool lime street,2025-11-24 14:45:00,0.0,On Time,14,0,0,11,False
2024-01-03,manchester piccadilly,liverpool lime street,2025-11-24 14:45:00,0.0,On Time,14,0,0,11,False
2024-01-03,york,edinburgh,2025-11-24 14:45:00,0.0,On Time,14,0,0,11,False
2024-01-03,london kings cross,york,2025-11-24 15:00:00,0.0,On Time,15,0,0,11,False
2024-01-03,london paddington,reading,2025-11-24 15:00:00,0.0,On Time,15,0,0,11,False
2024-01-03,london euston,birmingham new street,2025-11-24 15:30:00,cancelled,Cancelled,15,0,0,11,False
2024-01-03,reading,london paddington,2025-11-24 15:30:00,0.0,On Time,15,0,0,11,False
2024-01-03,reading,london paddington,2025-11-24 15:30:00,0.0,On Time,15,0,0,11,False
2024-01-03,london euston,birmingham new street,2025-11-24 15:30:00,cancelled,Cancelled,15,0,0,11,False
